ticker,sector,price,sma50,sma200,pct_vs_sma50,pct_vs_sma200,pct_off_52w_high,realized_vol,vol_rank,rsi14,beta,run_5d,dollar_vol_musd,sigma_21d,suggested_width,eligible,call_trigger,put_trigger,asof_date
PCG,Utilities,12.191,16.114,16.614,-24.343,-26.62,-36.204,55.352,0.65,27.23,0.155,-8.883,405.516,1.619,2.4,False,False,False,2026-09-24
NCLH,Consumer Discretionary,14.175,17.338,19.6,-18.246,-27.679,-43.817,44.787,0.517,28.121,1.93,-1.494,243.719,1.523,2.3,False,False,False,2026-09-24
BKNG,Consumer Discretionary,157.19,191.657,184.114,-17.984,-14.623,-29.52,40.647,0.467,23.513,0.867,-7.817,1090.653,15.325,23.0,False,False,False,2026-09-24
RCL,Consumer Discretionary,240.445,285.411,287.153,-15.755,-16.266,-30.913,34.144,0.267,32.188,1.588,-3.722,560.777,19.692,29.5,True,False,False,2026-09-24
CCL,Consumer Discretionary,21.825,25.511,27.564,-14.448,-20.822,-35.79,33.295,0.217,30.483,2.023,-1.556,459.774,1.743,2.6,False,False,False,2026-09-24
UPS,Industrials,91.795,104.575,105.15,-12.22,-12.7,-23.504,30.454,0.15,28.224,0.781,-8.36,447.309,6.706,10.1,True,False,False,2026-09-24
LULU,Consumer Discretionary,100.5,114.055,147.779,-11.885,-31.993,-53.446,50.92,0.583,41.104,1.275,1.117,346.436,12.275,18.4,False,False,False,2026-09-24
CMCSA,Communication Services,22.17,24.905,26.824,-10.981,-17.351,-31.743,35.771,0.317,28.775,0.152,-3.23,666.529,1.902,2.9,False,False,False,2026-09-24
NKE,Consumer Discretionary,35.755,39.854,49.631,-10.285,-27.958,-52.052,31.189,0.167,35.09,0.741,-1.664,948.077,2.675,4.0,False,False,False,2026-09-24
MCD,Consumer Discretionary,238.82,263.29,292.21,-9.294,-18.271,-29.977,22.862,0.05,26.835,0.011,-3.888,1176.238,13.096,19.6,True,False,False,2026-09-24
F,Consumer Discretionary,12.726,14.019,13.529,-9.222,-5.935,-27.032,31.677,0.183,34.459,1.18,-6.497,637.025,0.967,1.5,False,False,False,2026-09-24
BAC,Financials,55.955,61.634,55.29,-9.214,1.203,-13.663,21.619,0.033,24.711,0.726,-3.824,1823.399,2.902,4.4,True,True,False,2026-09-24
CMG,Consumer Discretionary,31.815,34.833,34.955,-8.664,-8.982,-24.894,49.913,0.567,31.92,0.715,-5.058,533.944,3.809,5.7,False,False,False,2026-09-24
BA,Industrials,196.595,214.693,221.121,-8.43,-11.092,-22.033,33.676,0.233,35.497,1.219,-0.206,1064.599,15.88,23.8,True,False,False,2026-09-24
KKR,Financials,95.235,103.985,104.3,-8.414,-8.691,-33.295,36.852,0.367,35.485,1.474,-3.009,379.868,8.418,12.6,False,False,False,2026-09-24
PYPL,Financials,52.245,56.818,50.481,-8.048,3.495,-31.374,51.744,0.617,39.437,1.095,-1.313,606.042,6.484,9.7,False,False,False,2026-09-24
ADBE,Information Technology,237.33,257.383,263.194,-7.791,-9.827,-34.143,48.958,0.55,37.585,0.368,-6.071,1228.091,27.87,41.8,False,False,False,2026-09-24
GIS,Consumer Staples,34.93,37.733,39.206,-7.429,-10.907,-31.657,35.895,0.333,33.996,-0.314,-4.719,331.078,3.007,4.5,False,False,False,2026-09-24
AVGO,Information Technology,349.69,377.045,368.589,-7.255,-5.127,-27.385,40.125,0.433,41.675,2.139,0.688,7920.158,33.656,50.5,False,False,False,2026-09-24
SCHW,Financials,99.525,106.725,98.256,-6.746,1.292,-12.429,25.055,0.1,31.953,0.465,-4.879,780.72,5.981,9.0,True,False,False,2026-09-24
UBER,Industrials,69.205,73.389,75.266,-5.702,-8.053,-30.864,36.096,0.35,36.319,0.868,-2.349,1193.968,5.992,9.0,False,False,False,2026-09-24
CSCO,Information Technology,106.24,112.491,96.84,-5.557,9.707,-18.277,34.647,0.283,40.423,1.042,-3.628,2048.08,8.829,13.2,True,False,False,2026-09-24
VST,Utilities,138.119,145.888,155.782,-5.326,-11.338,-34.494,40.951,0.483,41.695,1.47,-3.79,620.048,13.567,20.4,False,False,False,2026-09-24
NFLX,Communication Services,71.87,75.604,84.842,-4.939,-15.289,-42.103,37.129,0.383,38.687,0.309,-4.568,2489.532,6.401,9.6,False,False,False,2026-09-24
JPM,Financials,337.33,353.321,321.115,-4.526,5.05,-7.626,18.902,0.017,33.251,0.779,-3.43,2358.273,15.294,22.9,True,False,False,2026-09-24
WDC,Information Technology,453.025,474.192,391.843,-4.464,15.614,-39.292,84.595,0.883,48.569,2.968,6.878,3232.208,91.924,137.9,False,False,False,2026-09-24
AMAT,Information Technology,471.53,491.71,420.319,-4.104,12.184,-34.781,68.57,0.717,51.596,2.697,12.968,3556.334,77.555,116.3,False,False,False,2026-09-24
AMZN,Consumer Discretionary,250.0,256.192,240.737,-2.417,3.848,-11.978,42.034,0.5,44.868,1.436,-0.474,8860.672,25.206,37.8,False,False,False,2026-09-24
HUBB,Industrials,463.555,474.714,487.264,-2.351,-4.866,-16.903,32.901,0.2,51.302,1.2,4.586,216.515,36.582,54.9,True,False,False,2026-09-24
VZ,Communication Services,47.265,48.024,46.243,-1.58,2.21,-8.134,23.516,0.067,40.6,-0.275,-2.204,1000.891,2.666,4.0,False,False,False,2026-09-24
ORCL,Information Technology,140.074,141.998,164.959,-1.355,-15.086,-55.248,55.42,0.667,42.927,2.007,-6.983,4317.882,18.621,27.9,False,False,False,2026-09-24
WMT,Consumer Staples,108.315,109.538,118.599,-1.116,-8.671,-19.288,28.824,0.133,50.179,-0.054,1.428,2406.44,7.489,11.2,True,False,False,2026-09-24
GOOG,Communication Services,338.48,342.247,336.652,-1.101,0.543,-15.176,34.062,0.25,47.852,1.335,-1.513,5832.421,27.655,41.5,True,False,False,2026-09-24
COHR,Information Technology,294.35,296.464,285.626,-0.713,3.054,-31.048,101.837,0.95,48.99,3.201,-0.551,1604.123,71.901,107.9,False,False,False,2026-09-24
GOOGL,Communication Services,342.47,344.503,338.056,-0.59,1.306,-14.94,34.839,0.3,48.615,1.355,-1.399,8805.271,28.619,42.9,True,False,False,2026-09-24
LRCX,Information Technology,304.235,304.64,270.155,-0.133,12.615,-29.791,75.475,0.767,51.626,3.21,12.968,2877.016,55.078,82.6,False,False,False,2026-09-24
GLW,Information Technology,154.805,152.824,148.513,1.296,4.237,-39.456,81.727,0.85,50.172,2.83,4.74,1522.314,30.347,45.5,False,False,False,2026-09-24
PSKY,Communication Services,10.075,9.756,10.69,3.273,-5.753,-48.333,40.057,0.417,45.819,0.641,-5.132,108.688,0.968,1.5,False,False,False,2026-09-24
T,Communication Services,25.515,24.693,25.148,3.33,1.461,-12.32,24.895,0.083,51.944,-0.339,0.492,1060.864,1.524,2.3,False,False,False,2026-09-24
NVDA,Information Technology,224.02,215.612,199.273,3.899,12.418,-4.972,39.494,0.4,54.131,1.893,2.133,25354.872,21.222,31.8,False,False,False,2026-09-24
AAPL,Information Technology,337.41,321.706,287.458,4.882,17.377,-0.785,28.302,0.117,63.24,0.673,0.122,13637.272,22.905,34.4,True,False,True,2026-09-24
MSFT,Information Technology,497.59,473.503,431.933,5.087,15.201,-8.206,40.177,0.45,54.137,0.959,-0.032,11514.629,47.952,71.9,False,False,False,2026-09-24
TSLA,Consumer Discretionary,379.6,348.661,395.968,8.874,-4.134,-22.512,53.399,0.633,60.24,2.224,3.659,12283.261,48.621,72.9,False,False,False,2026-09-24
LITE,Information Technology,933.55,854.447,726.256,9.258,28.543,-11.351,99.51,0.933,53.678,2.865,4.47,3545.007,222.827,334.2,False,False,False,2026-09-24
NOW,Information Technology,138.68,125.172,116.812,10.791,18.721,-26.724,58.079,0.683,55.207,0.655,0.152,2079.352,19.32,29.0,False,False,False,2026-09-24
MU,Information Technology,1070.2,936.827,656.87,14.237,62.924,-11.813,80.908,0.833,61.919,3.314,9.483,31326.555,207.691,311.5,False,False,False,2026-09-24
QCOM,Information Technology,194.18,169.613,168.997,14.484,14.901,-22.644,45.744,0.533,63.09,2.085,2.899,1980.754,21.306,32.0,False,False,False,2026-09-24
SNDK,Information Technology,1735.635,1509.065,1100.06,15.014,57.776,-25.669,122.92,0.983,55.174,4.098,7.51,20676.46,511.732,767.6,False,False,False,2026-09-24
DELL,Information Technology,543.505,472.441,280.835,15.042,93.531,-7.63,82.433,0.867,55.697,2.233,-7.63,2960.29,107.466,161.2,False,False,False,2026-09-24
